time,latitude,longitude,average_temperature,temperature_RMS,average_conductivity,conductivity_RMS
2023-06-13 03:45:51,49.34920883178711,-0.31251147389411926,15.807215690612793,15.807220458984375,52380.5546875,52380.55859375
2023-06-13 03:51:53,49.34811019897461,-0.3105877637863159,15.792667388916016,15.7926664352417,52357.77734375,52357.78125
2023-06-13 03:57:54,49.347076416015625,-0.3088138699531555,15.78390884399414,15.783906936645508,52327.77734375,52327.78515625
2023-06-13 04:03:55,49.34614562988281,-0.30719122290611267,15.784881591796875,15.784879684448242,52356.109375,52356.1171875
2023-06-13 04:09:57,49.34524917602539,-0.3055990934371948,15.779529571533203,15.77952766418457,52353.33203125,52353.33984375
2023-06-13 04:15:58,49.34436798095703,-0.30417096614837646,15.774171829223633,15.77417278289795,52351.66796875,52351.671875
2023-06-13 04:21:59,49.343505859375,-0.302742600440979,15.76785945892334,15.767862319946289,52350.0,52350.00390625
2023-06-13 04:28:01,49.34268569946289,-0.30138880014419556,15.76639175415039,15.766395568847656,52349.4453125,52349.44921875
2023-06-13 04:34:19,49.34184265136719,-0.30000147223472595,15.770763397216797,15.770766258239746,52359.4453125,52359.4453125
2023-06-13 04:40:37,49.34103775024414,-0.2987598478794098,15.76931095123291,15.769312858581543,52365.5546875,52365.5625
2023-06-13 04:46:56,49.34022521972656,-0.2976275682449341,15.767369270324707,15.767372131347656,52357.22265625,52357.2265625
2023-06-13 04:53:15,49.33949279785156,-0.2966115474700928,15.768345832824707,15.768355369567871,52363.33203125,52363.34765625
2023-06-13 04:59:34,49.338829040527344,-0.2956550419330597,15.779523849487305,15.779540061950684,52376.66796875,52376.6875
2023-06-13 05:06:00,49.33815383911133,-0.2946471869945526,15.770282745361328,15.77029037475586,52370.0,52370.00390625
2023-06-13 05:12:01,49.33770751953125,-0.29401710629463196,15.76639175415039,15.76639461517334,52370.0,52370.00390625
2023-06-13 05:18:02,49.33711242675781,-0.2931816875934601,15.76784610748291,15.76784896850586,52373.33203125,52373.33203125
2023-06-13 05:24:04,49.33708953857422,-0.2931550443172455,15.764458656311035,15.764461517333984,52380.5546875,52380.55859375
2023-06-13 05:30:05,49.33708953857422,-0.2931550443172455,15.762042999267578,15.762043952941895,52388.33203125,52388.3359375
2023-06-13 05:36:24,49.33676528930664,-0.2927405834197998,15.775623321533203,15.775634765625,52411.109375,52411.125
2023-06-13 05:42:43,49.33500671386719,-0.2905213236808777,15.776594161987305,15.776604652404785,52415.5546875,52415.56640625
2023-06-13 05:48:57,49.33460998535156,-0.2901225686073303,15.778064727783203,15.778068542480469,52422.22265625,52422.23828125
2023-06-13 05:54:59,49.33439636230469,-0.2899132966995239,15.775634765625,15.775632858276367,52400.5546875,52400.5546875
2023-06-13 06:01:00,49.33384704589844,-0.28935667872428894,15.775146484375,15.775146484375,52385.0,52385.015625
2023-06-13 06:07:01,49.33384704589844,-0.28935667872428894,15.778067588806152,15.778067588806152,52386.66796875,52386.6796875
2023-06-13 06:13:03,49.33372497558594,-0.2892882525920868,15.780500411987305,15.780500411987305,52422.77734375,52422.7734375
2023-06-13 06:19:04,49.332767486572266,-0.2887367010116577,15.78390884399414,15.783905982971191,52426.109375,52426.109375
2023-06-13 06:25:05,49.332767486572266,-0.2887367010116577,15.786341667175293,15.786340713500977,52432.22265625,52432.21875
2023-06-13 06:31:07,49.332767486572266,-0.2887367010116577,15.793635368347168,15.793633460998535,52445.5546875,52445.55859375
2023-06-13 06:37:25,49.33216094970703,-0.2887021005153656,15.805747032165527,15.805747985839844,52457.22265625,52457.2265625
2023-06-13 06:43:44,49.33176803588867,-0.2886800169944763,15.80526351928711,15.805264472961426,52460.0,52460.0
2023-06-13 06:50:03,49.33176803588867,-0.2886800169944763,15.813530921936035,15.813536643981934,52472.77734375,52472.78125
2023-06-13 06:56:22,49.33159637451172,-0.28891658782958984,15.825692176818848,15.825699806213379,52486.66796875,52486.68359375
2023-06-13 07:02:41,49.33113479614258,-0.2896803021430969,15.847084999084473,15.847095489501953,52515.0,52515.0234375
2023-06-13 07:08:59,49.331111907958984,-0.2897549271583557,15.832508087158203,15.832512855529785,52482.77734375,52482.7890625
2023-06-13 07:15:00,49.331111907958984,-0.2897549271583557,15.84512710571289,15.84512710571289,52497.22265625,52497.2265625
2023-06-13 07:21:01,49.331111907958984,-0.2897549271583557,15.854846954345703,15.854848861694336,52521.109375,52521.109375
2023-06-13 07:27:02,49.331111907958984,-0.2897549271583557,15.87865161895752,15.878652572631836,52552.77734375,52552.77734375
2023-06-13 07:33:04,49.331111907958984,-0.2897549271583557,15.885445594787598,15.88545036315918,52563.33203125,52563.3359375
2023-06-13 07:39:23,49.331111907958984,-0.2897549271583557,15.898091316223145,15.898094177246094,52579.4453125,52579.4453125
2023-06-13 07:45:42,49.331111907958984,-0.2897549271583557,15.91459846496582,15.914604187011719,52602.22265625,52602.2265625
2023-06-13 07:52:01,49.331111907958984,-0.2897549271583557,15.954925537109375,15.954944610595703,52665.0,52665.0234375
2023-06-13 07:58:14,49.33200454711914,-0.29530084133148193,15.94570541381836,15.945708274841309,52647.77734375,52647.77734375
2023-06-13 08:04:15,49.33225631713867,-0.2961810529232025,15.96415901184082,15.964160919189453,52676.109375,52676.11328125
2023-06-13 08:10:16,49.33259582519531,-0.2970733344554901,15.991353034973145,15.991355895996094,52712.22265625,52712.22265625
2023-06-13 08:16:18,49.33332443237305,-0.2986988127231598,15.989420890808105,15.989420890808105,52713.890625,52713.88671875
2023-06-13 08:22:19,49.333831787109375,-0.299749493598938,15.98990535736084,15.989912986755371,52715.5546875,52715.5625
2023-06-13 08:28:20,49.33454895019531,-0.30114415287971497,16.013206481933594,16.013212203979492,52744.4453125,52744.44921875
2023-06-13 08:34:22,49.33527755737305,-0.3024497330188751,16.038951873779297,16.038957595825195,52781.66796875,52781.67578125
2023-06-13 08:40:40,49.33613204956055,-0.3038833439350128,16.061796188354492,16.061796188354492,52811.66796875,52811.66796875
2023-06-13 08:46:59,49.33700180053711,-0.30530375242233276,16.064697265625,16.064701080322266,52803.890625,52803.89453125
2023-06-13 08:53:18,49.337894439697266,-0.3067833483219147,16.08751678466797,16.0875301361084,52842.77734375,52842.7890625
2023-06-13 08:59:35,49.338802337646484,-0.30830448865890503,16.092864990234375,16.092872619628906,52848.33203125,52848.34765625
2023-06-13 09:05:37,49.33962631225586,-0.3097184896469116,16.11665916442871,16.116662979125977,52879.4453125,52879.44921875
2023-06-13 09:11:38,49.34044647216797,-0.31113651394844055,16.145780563354492,16.145788192749023,52921.109375,52921.12109375
2023-06-13 09:17:39,49.34129333496094,-0.31256207823753357,16.16958236694336,16.16958999633789,52956.66796875,52956.67578125
2023-06-13 09:23:41,49.34217834472656,-0.31405434012413025,16.148704528808594,16.14871597290039,52931.66796875,52931.67578125
2023-06-13 09:29:42,49.34309387207031,-0.31555813550949097,16.19483184814453,16.19483184814453,52992.77734375,52992.78125
2023-06-13 09:35:43,49.34403610229492,-0.3170216977596283,16.21861457824707,16.218624114990234,53027.77734375,53027.78515625
2023-06-13 09:42:02,49.34510040283203,-0.3186335861682892,16.23560333251953,16.235614776611328,53042.77734375,53042.7890625
2023-06-13 09:48:21,49.34610366821289,-0.32016780972480774,16.293861389160156,16.293869018554688,53122.77734375,53122.77734375
2023-06-13 09:54:44,49.34705352783203,-0.32164502143859863,16.319101333618164,16.319110870361328,53156.66796875,53156.67578125
2023-06-13 10:00:45,49.34796142578125,-0.3230619728565216,16.346759796142578,16.34676742553711,53191.66796875,53191.671875
2023-06-13 10:06:46,49.34883117675781,-0.3244527280330658,16.378299713134766,16.3783016204834,53231.66796875,53231.66796875
2023-06-13 10:12:48,49.34968566894531,-0.3258526921272278,16.376853942871094,16.376869201660156,53233.33203125,53233.33984375
2023-06-13 10:18:49,49.35053253173828,-0.3272068202495575,16.38218116760254,16.382204055786133,53243.33203125,53243.34765625
2023-06-13 10:24:50,49.35139083862305,-0.3285492956638336,16.402084350585938,16.402099609375,53270.5546875,53270.56640625
2023-06-13 10:30:52,49.352237701416016,-0.329909086227417,16.420047760009766,16.420066833496094,53288.33203125,53288.34375
2023-06-13 10:36:53,49.35310363769531,-0.33125054836273193,16.455949783325195,16.455963134765625,53347.77734375,53347.78515625
2023-06-13 10:43:11,49.354034423828125,-0.33265331387519836,16.52338981628418,16.523395538330078,53434.4453125,53434.44921875
2023-06-13 10:49:30,49.3548698425293,-0.3339580297470093,16.5544376373291,16.554445266723633,53472.77734375,53472.7890625
2023-06-13 10:55:49,49.35575485229492,-0.33522751927375793,16.547636032104492,16.547645568847656,53446.66796875,53446.67578125
2023-06-13 11:02:08,49.35663604736328,-0.3364714980125427,16.576263427734375,16.576276779174805,53473.890625,53473.89453125
2023-06-13 11:08:27,49.35751724243164,-0.33770740032196045,16.580625534057617,16.58068084716797,53486.66796875,53486.71484375
